       Timestamp    Open    High     Low   Close  Volume
03-03-25 11:00AM $89,963 $90,677 $89,536 $90,083  899.24
03-03-25 10:00AM $89,195 $91,254 $89,039 $89,963 2585.10
03-03-25 09:00AM $93,561 $93,715 $89,100 $89,188 2710.16
03-03-25 08:00AM $92,988 $93,666 $92,839 $93,563  467.78
03-03-25 07:00AM $92,705 $93,222 $92,619 $92,988  533.70
03-03-25 06:00AM $92,509 $92,876 $92,378 $92,709  417.48
03-03-25 05:00AM $91,796 $92,546 $91,500 $92,523  291.08
03-03-25 04:00AM $91,447 $92,026 $91,150 $91,796  475.85
03-03-25 03:00AM $92,339 $92,374 $91,108 $91,448  325.19
03-03-25 02:00AM $91,608 $92,539 $91,141 $92,338  590.55
03-03-25 01:00AM $93,316 $93,316 $91,288 $91,608  469.34
03-03-25 12:00AM $92,836 $93,322 $92,798 $93,309  309.30
03-02-25 11:00PM $92,673 $92,929 $92,550 $92,836  286.81
03-02-25 10:00PM $93,282 $93,407 $92,427 $92,673  365.18
03-02-25 09:00PM $93,056 $93,441 $92,410 $93,282  455.54
03-02-25 08:00PM $93,282 $93,382 $92,626 $93,056  589.60
03-02-25 07:00PM $94,265 $94,416 $93,260 $93,282  681.47


